公司名,缺失数据项,状态,可能获取途径,对分析的影响
安踏体育,可持续原材料具体定义,🟡未找到,搜索2024 ESG报告PDF全文,影响可持续产品占比数据的可解释性
安踏体育,范围3排放细分数据,🟡部分披露,2024 ESG报告有首次范围3披露但细节待确认,影响全价值链碳评估完整性
李宁,可持续产品占比(任何形式数据),⬜完全未找到,搜索ESG报告全文+公司新闻,核心数据缺失
李宁,供应链ESG审计覆盖率,⬜完全未找到,搜索ESG报告全文+CDP问卷,影响供应链风险评估
李宁,范围3排放数据,⬜完全未找到,搜索ESG报告全文,影响全价值链碳评估
特步国际,SBTi正式验证状态,🟡未在SBTi仪表板确认,检查SBTi官网,影响碳目标可信度评估
特步国际,范围3减排目标,🟡仅首次披露总量无减量目标,搜索后续新闻+CDP问卷,影响全价值链评估
波司登,可持续产品占比,⬜完全未找到,搜索ESG报告全文,核心数据缺失
波司登,SBTi正式验证状态,🟡已提交承诺但未确认验证通过,检查SBTi官网,影响碳目标可信度
SHEIN,MSCI ESG评级,⬜非上市公司无评级,N/A(上市后可获取),非上市公司的必然限制
SHEIN,范围3减排绝对量(基数巨大),🟡目标为25%相对降幅但绝对排放仍在增长,需要独立第三方验证,影响目标可信度评估
珀莱雅,碳中和目标年份,⬜未找到明确年份,搜索公司战略文件+管理层访谈,影响长期气候承诺评估
珀莱雅,供应链ESG审计覆盖率,⬜未找到,搜索ESG报告全文,影响供应链风险评估
逸仙电商,可持续产品占比,⬜未找到,搜索ESG报告全文,核心数据缺失
逸仙电商,SBTi状态,⬜未提交,搜索公司公告,影响碳目标可信度
名创优品,定量碳减排目标,⬜完全未设定,公司公告(2024年仅完成情景分析),核心数据缺失-影响气候承诺评估
名创优品,供应链ESG审计数据,⬜未找到,搜索ESG报告全文,影响供应链风险评估
泡泡玛特,范围3排放数据,⬜完全缺失,搜索公司公告+CDP,影响全价值链碳评估
泡泡玛特,碳中和路线图,⬜未设定完整路线图,公司公告(仅提2030碳达峰),影响长期气候战略评估
泡泡玛特,第三方审计,⬜报告未经审验,公司后续年份报告,影响数据可信度
PDD控股,全部ESG数据维度,⬜几乎完全缺失(仅第三方估算),等待公司发布首份ESG报告,无法进行分析
FMG集团(UR),ESG报告及核心数据,⬜无独立报告,公司官网+后续年份,无法进行量化分析
太平鸟,ESG报告及核心数据,⬜无独立报告(仅年报含少量ESG信息),上交所公告,无法进行量化分析
蕉下,全部ESG数据维度,⬜私有企业无公开ESG披露,公司如上市或主动披露,无法进行分析
花西子,全部ESG数据维度,⬜私有企业无公开ESG披露,公司如上市或主动披露,无法进行分析
雪中飞,全部ESG数据维度(子品牌),⬜涵盖于波司登集团报告但无单独数据,波司登集团ESG报告,无法进行独立品牌分析
