公司名,上市地,行业,独立ESG报告,MSCI评级,CDP评分,碳中和目标年,SBTi状态,当前可持续产品占比,可持续产品目标占比,可持续产品目标年,范围1+2减排目标,范围3减排目标,可再生能源比例,绿电目标,供应链审计数,供应链审计覆盖率,核心数据年份
安踏体育,港交所02020,运动服饰,是(第10年),AA,A,2050,已验证(1.5°C),>30%,50%,2030,范围1+2减42%至2030(基准2022),范围3减51.6%/USD至2030,自有设施太阳能>8800MWh,50%战略伙伴可再生能源至2030,786次,一级供应商100%,2024
李宁,港交所02331,运动服饰,是,BBB,未找到,2040(北京中心碳中和),未提交,未找到,未找到,未找到,光伏自发自用占25%,未找到,未找到(披露了10家重点供应商减碳计划),未找到,未找到,2024
特步国际,港交所01368,运动服饰,是,A,未找到,2050,未明确验证(按SBTi框架),未找到,50%产品含可持续材料至2030,2030,范围1+2减42%至2030(基准2022),首次披露总量,太阳能发电同比增95%,未找到,未找到,一级&二级至2030,2024
波司登,港交所03998,服装,是(含首份气候报告),AA,B,2038(自身运营净零),已提交承诺,未找到,80%低碳面料至2038,2038,已披露(范围1+2+3经ISO14064验证),范围3已披露(同比降5.5%),自有太阳能917MWh+绿证5284MWh,绿电100%至2038,100%一级供应商覆盖,100%,2024/25
SHEIN,私有(拟上市),快时尚,是(2024可持续发展报告),未找到(非上市无评级),未找到,2050,已验证(近期+净零),未找到,31%再生涤纶至2030,2030,范围1+2减42%至2030,范围3减25%至2030,自有设施可再生能源76%(至2030达100%),自有设施100%至2030,4288次,47%获A/B级,2024
珀莱雅,上交所603605,美妆,是(第5年),BBB,B,未找到明确碳中和年,未提交,未找到,33.88%可持续包装,未设定,范围1+2单位产品排放降18.46%(基准2021),未单独披露范围3,清洁能源46.66%(太阳能2562MWh+绿证7104MWh),未找到,未找到,未找到,2024
逸仙电商(完美日记),纽交所YSG,美妆,是(第4年),A,未找到,2050(全价值链),未提交,未找到,未找到,未找到,总排放1773.46吨CO₂e(同比降61.7%),总排放1773.46吨CO₂e(同比下降61.7%),广州工厂光伏2324kWp,自身运营100%清洁能源至2035,未找到,未找到,2024
名创优品,港交所09896,零售,是,AA,未找到,未设定,未提交,29个SKU获生物降解认证,未设定(仅设ECO标签计划),未设定,首次披露范围3(仅商务差旅),未设定(未披露减排目标),未设定,未设定,未找到,未找到,2024
泡泡玛特,港交所09992,消费娱乐,是,AA,未找到,未设定完整路线图(仅2030碳达峰),未提交,55%再生材料手办(DIMOO),未设定,未设定,范围1+2排放7,407.59吨(同比降15%),缺失,保定工厂光伏年发1200万度(覆盖60%用电),能耗降10%至2025(基准2020),未找到,未找到,2024
PDD控股(拼多多/Temu),纳斯达克PDD,电商,未找到独立ESG报告,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到
FMG集团(UR),私有,快时尚,无独立ESG报告,无评级,未找到,未找到,未找到,未找到(仅环保胶囊系列),未找到,未找到,未找到,未找到,未找到,未找到,未找到(仅提OEM供应商ESG准则),未找到,2024(仅新闻稿)
太平鸟,上交所603877,服装,无独立ESG报告(ESG信息仅在年报中),未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到,未找到
蕉下,私有,户外生活方式,无ESG报告,无评级,无,无,无,无,无,无,无,无,无,无,无,无,无
花西子,私有,美妆,无ESG报告,无评级,无,无,无,无,无,无,无,无,无,无,无,无,无
雪中飞,波司登子公司,服装,无独立报告(涵盖于波司登集团ESG),无独立评级,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团,涵盖于波司登集团
